Year,Province,GDP,CPI,Population,Graduations_College,Graduations_University,Total_retail_sales,First_industry,Second_industry,Third_industry,Natural_Population_growth_rate,unemployment_rate
2009,Hunan,12772.8,99.6415,6406,16.617,11.0942,4913.7,1795.8,5494.7,5482.3,6.11,4.14
2009,Gansu,3268.3,101.2543,2554.91,4.7991,4.6266,1183,418.4,1473.2,1376.6,6.61,3.25
2009,Fujian,12418.1,98.1887,3666,8.3235,7.5094,4481,1108.8,6129.1,5180.2,6.2,3.9
2009,Xizang,445.7,101.4086,295.84,0.3161,0.4674,156.6,60.5,130.1,255.1,10.24,3.8
2009,Guizhou,3856.7,98.7179,3537,4.2384,3.3692,1247.3,531.2,1574.9,1750.6,6.96,3.81
2009,Liaoning,12815.7,100.0494,4341,8.8293,13.7561,5812.6,1297.3,6539.3,4979.1,0.97,3.87
2009,Chongqing,6651.2,98.3638,2859,5.6794,6.8027,2479,581.1,3016.8,3053.4,3.7,3.96
2009,Shannxi,7997.8,100.5234,3727,12.3689,11.5463,2699.7,751.6,4017.5,3228.7,4,3.94
2009,Qinghai,939.7,102.6477,557.3,0.5635,0.601,300.5,105.3,365.7,468.7,8.32,3.8
2009,Heilongjiang,7218.9,100.1869,3826.01,8.2982,10.0032,3401.8,1141.9,3668.1,2409,2.06,4.27
2010,Shanghai,17915.4,103.1056,2302.66,5.5919,8.8673,6186.6,114.5,7434.9,10366.1,1.98,4.35
2010,Yunnan,7735.3,103.7319,4601.6,5.9338,5.1629,2555.8,1090.3,3267.7,3377.3,6.54,4.21
2010,Neimenggu,8199.9,103.2023,2472.18,5.571,4.26,3384.00401,1097.8,3420.5,3681.6,3.76,3.9
2010,Beijing,14964,102.4001,1961.9,4.3092,11.595,6340.3,122.8,3233.1,11608.1,3.07,1.37
2010,Jilin,6410.5,103.7021,2746.6,5.0087,9.2654,3504.91606,928.4,2485.8,2996.3,2.03,3.8
2010,Sichuan,17224.8,103.1787,8044.92,15.4856,14.3775,6884.8,2384.9,8283.2,6556.7,2.31,4.14
2010,Tianjin,6830.8,103.5496,1299.29,5.2043,6.009,2860.2,131.7,3259.7,3439.3,2.6,3.6
2010,Ningxia,1571.7,104.071,632.96,0.9704,1.0332,418.5,151.4,733.4,686.9,9.04,4.35
2010,Anhui,13249.8,103.1392,5956.7,15.1396,10.7316,4300.5,1600.6,6396,5253.2,6.75,3.66
2010,Shandong,33922.5,102.9347,9587.87,29.5365,18.207,14620.34362,3411.3,17733.1,12778.1,5.39,3.36
2010,Shanxi,8903.9,103.0185,3574.11,8.8694,6.5192,3318.15477,510.4,5349.6,3043.9,5.3,3.58
2010,Guangdong,45944.6,103.1212,10440.94,20.0798,16.8536,17458.444,2199.6,22917.4,20827.6,6.97,2.52
2010,Guangxi,8552.4,102.9844,4610,9.6445,5.8324,3311.9968,1639.7,3465.2,3447.6,8.65,3.66
2010,Xinjiang,5360.2,104.3303,2185,3.4005,3.1966,1386.1,1000.3,2479.8,1880.1,10.56,3.23
2010,Jiangsu,41383.9,103.8132,7869.34,25.5894,23.2469,13606.3,2409.2,21853.6,17121,2.85,3.16
2010,Jiangxi,9383.2,103.0443,4462.2489,14.54,8.7077,2971,1147.6,5083.1,3152.5,7.66,3.31
2010,Hebei,18003.6,103.074,7193.6,19.1529,12.2466,6821.7916,2473.1,8470.5,7060,6.81,3.86
2010,Henan,22655,103.5284,9405.47,27.2776,15.4976,8004.2238,3127.1,12173.5,7354.4,4.95,3.38
2010,Zhejiang,27399.9,103.8375,5446.51,12.4005,12.1403,10387,1322.9,14140.9,11936.1,4.73,3.2
2010,Hainan,2020.5,104.8372,868.55,2.3973,1.6525,663.8,521.9,528.6,970.1,8.98,3
2010,Hubei,16226.9,102.9134,5727.9143,20.7332,15.8915,7014.4,2043.2,7748.3,6435.5,4.34,4.18
2010,Hunan,15574.3,103.1133,6570.1,16.6226,12.1979,5952.6,2073.2,7034.7,6466.4,6.4,4.16
2010,Gansu,3943.7,104.1007,2559.98,4.8222,5.1995,1435.5,472.6,1910.4,1560.8,6.03,3.21
2010,Fujian,15002.5,103.2208,3693,9.6028,8.2609,5310.02699,1269.9,7705.3,6027.4,6.11,3.77
2010,Xizang,512.9,102.2002,300.22,0.3395,0.4618,192.4,64.8,155,293.1,10.25,3.99
2010,Guizhou,4519,102.9239,3479,4.6302,3.847,1531.6,602.8,1820.7,2095.5,7.41,3.64
2010,Liaoning,13896.3,103.0412,4375,9.7421,14.5186,6887.64341,1468.9,7181.8,5245.5,0.42,3.63
2010,Chongqing,8065.3,103.2477,2884.62,6.2368,7.1991,3051.1,649.5,3624.1,3791.7,2.77,3.9
2010,Shannxi,9845.2,103.9711,3735,13.7854,12.26,3257.5,946.7,5071.5,3827,3.72,3.85
2010,Qinghai,1144.2,105.3541,563.47,0.6811,0.6209,351,132.6,444.2,567.4,8.63,3.8
2010,Heilongjiang,8308.3,103.8951,3833.35,8.9462,10.9616,4039.21848,1291.8,4146.1,2870.4,2.32,4.27
2011,Shanghai,20009.7,105.177244,2356,5.2383,9.0926,7185.829127,126.4,8169.3,11713.9,1.87,3.54
2011,Yunnan,9523.1,104.8549646,4620,6.0483,6.0178,3105.885026,1396.6,3811.4,4315.1,6.35,4.05
2011,Neimenggu,9458.1,105.5808931,2470,5.895,4.6919,3991.70905,1309.7,4044,4104.4,3.51,3.8
2011,Beijing,17188.8,105.6359038,2024,4.2304,11.8225,7222.169576,134.5,3563.3,13491,4.02,1.39
2011,Jilin,7734.6,105.2456651,2725,4.8685,9.8931,4119.81745,1105.9,2931.4,3697.4,1.02,3.7
2011,Sichuan,21050.9,105.3398928,8064,13.5607,16.0569,8290.836566,2854.6,10014.4,8181.9,2.98,4.16
2011,Tianjin,8112.5,104.8515094,1341,5.1546,6.4941,3395.05613,141.1,3756.3,4215.2,2.5,3.6
2011,Ningxia,1931.8,106.3381709,648,0.9072,1.2111,515.4914874,175,919.8,837,8.97,4.4
2011,Anhui,16284.9,105.5624626,5972,15.2077,11.6243,5288.227404,1868,8189.1,6227.8,6.32,3.74
2011,Shandong,39064.9,105.0201593,9665,27.0381,20.8738,17155.49475,3768.6,19926.1,15370.3,5.1,3.35
2011,Shanxi,10894.4,105.2128924,3562,9.0667,7.2495,3903.41145,586.6,6750.2,3557.7,4.86,3.48
2011,Guangdong,53072.8,105.3210056,10756,22.9664,18.7075,20297.51515,2553.2,26161.1,24358.5,6.1,2.46
2011,Guangxi,10299.9,105.9048406,4655,10.3265,6.3961,3908.2299,2006.4,4241.2,4052.3,7.67,3.46
2011,Xinjiang,6532,105.9492185,2225,3.489,3.2082,1662.353912,1047.2,3093.4,2391.4,10.57,3.22
2011,Jiangsu,48839.2,105.3297384,8023,24.5211,23.9357,16058.31153,2908.8,25231.2,20699.2,2.61,3.22
2011,Jiangxi,11584.5,105.2492586,4474,13.7193,9.5994,3560.478966,1320.5,6338,3926,7.5,2.98
2011,Hebei,21384.7,105.6961013,7232,18.3503,13.5428,8035.50089,2702.8,10275.5,8406.4,6.5,3.75
2011,Henan,26318.7,105.6274776,9461,26.6552,17.0263,9453.60217,3349.3,14021.6,8947.8,4.94,3.35
2011,Zhejiang,31854.8,105.3834023,5570,12.3204,13.0679,12532.80304,1535.2,16271,14048.6,4.07,3.12
2011,Hainan,2463.8,106.0657114,890,2.4187,1.8157,822.5462345,636.6,671.3,1155.9,8.97,1.73
2011,Hubei,19942.5,105.7593183,5760,18.7694,17.0124,8363.344352,2469.2,9766.1,7707.1,4.38,4.1
2011,Hunan,18915,105.5278989,6581,17.4779,13.4235,7208.986062,2420,8883.6,7611.4,6.55,4.21
2011,Gansu,4816.9,105.8674296,2552,4.6012,5.8456,1772.946169,525.6,2288.6,2002.7,6.05,3.11
2011,Fujian,17917.7,105.2632179,3784,9.1497,9.1533,6276.1676,1492.2,9316.6,7109,6.21,3.69
2011,Xizang,611.5,104.994207,309,0.3299,0.4518,237.4746874,69.8,195.6,346.1,10.26,3.2
2011,Guizhou,5615.6,105.1467181,3530,4.6813,4.076,1899.919693,699.6,2258.9,2657.1,6.38,3.63
2011,Liaoning,16354.9,105.1655463,4379,8.9325,15.1556,8095.3216,1693.4,8478.7,6182.9,-0.34,3.68
